Code,County,Population,,,,,,,,,,,,,,,,,
01,Stockholm                                         ,"2,377,081",,,,,,,,,,,,,,,,,
03,Uppsala                                           ,"383,713",,,,,,,,,,,,,,,,,
04,Södermanland                                      ,"297,540",,,,,,,,,,,,,,,,,
05,Östergötland                                      ,"465,495",,,,,,,,,,,,,,,,,
06,Jönköping                                         ,"363,599",,,,,,,,,,,,,,,,,
07,Kronoberg                                         ,"201,469",,,,,,,,,,,,,,,,,
08,Kalmar                                            ,"245,446",,,,,,,,,,,,,,,,,
09,Gotland                                           ,"59,686",,,,,,,,,,,,,,,,,
10,Blekinge                                          ,"159,606",,,,,,,,,,,,,,,,,
12,Skåne                                             ,"1,377,827",,,,,,,,,,,,,,,,,
13,Halland                                           ,"333,848",,,,,,,,,,,,,,,,,
14,Västra Götaland                                   ,"1,725,881",,,,,,,,,,,,,,,,,
17,Värmland                                          ,"282,414",,,,,,,,,,,,,,,,,
18,Örebro                                            ,"304,805",,,,,,,,,,,,,,,,,
19,Västmanland                                       ,"275,845",,,,,,,,,,,,,,,,,
20,Dalarna                                           ,"287,966",,,,,,,,,,,,,,,,,
21,Gävleborg                                         ,"287,382",,,,,,,,,,,,,,,,,
22,Västernorrland                                    ,"245,347",,,,,,,,,,,,,,,,,
23,Jämtland Härjedalen                                         ,"130,810",,,,,,,,,,,,,,,,,
24,Västerbotten                                      ,"271,736",,,,,,,,,,,,,,,,,
25,Norrbotten                                        ,"250,093",,,,,,,,,,,,,,,,,
